target,opinion,sentiment,reviewID,item
bricks,damage,NEG,3036,Brick Separator
box,damaged,NEG,582,1989 Batwing
set,damaged,NEG,582,1989 Batwing
parts,damaged,NEG,684,Batman™ Cowl
brick see picture,damaged,NEG,1581,Chip & Dale
parts,damaged,NEG,1581,Chip & Dale
package,damaged,NEG,2187,Fire Rescue & Police Chase
pieces,damaged,NEG,2995,Brick Separator
pieces,damaged,NEG,2999,Brick Separator
x4 plates,damaged,NEG,3069,Brick Separator
single boxes,damaged,NEG,3840,Colosseum
box,damaged,NEG,3923,Colosseum
keepsake set,damaged,NEG,3926,Colosseum
bits,damaged,NEG,4642,Ghostbusters™ ECTO-1
box,damaged,NEG,4927,NASA Space Shuttle Discovery
ecto1 pieces,damaged scratched,NEG,4591,Ghostbusters™ ECTO-1
pieces,damaging,NEG,3031,Brick Separator
molars,damaging,NEG,3031,Brick Separator
powered up app,danger,NEG,4341,Haunted House
colors,dark,POS,607,Jim Lee Batman™ Collection
batman vibe,dark,NEG,625,THE BATMAN - BATMOBILE™
batman vibe,dark,NEG,641,THE BATMAN - BATMOBILE™
green,dark,NEG,2841,Green Baseplate
center plaques,dark,NEG,3365,Pirate Ship
ink colour,dark,NEG,4541,Boutique Hotel
coloured bricks,dark,NEG,4989,Police Station
colors,dark grey,NEG,596,Jim Lee Batman™ Collection
color,darker,POS,3209,Green Baseplate
color,darker,NEG,3209,Green Baseplate
green color,darker,NEG,4071,Assembly Square
pieces,darker,NEG,4942,Police Station
pieces,darker,NEG,5023,Police Station
pieces,darker,NEG,5028,Police Station
bricks,darker colored,NEG,4975,Police Station
pieces,darker coloured,NEG,4966,Police Station
baseplate,darker green,NEG,3225,Green Baseplate
bags,daunted,NEG,4710,NASA Space Shuttle Discovery
build,daunting,NEG,3854,Colosseum
batteries,dead,NEG,1673,Passenger Train
lego,dear,POS,4655,Ghostbusters™ ECTO-1
subject,dear,POS,5176,Bookshop
mindstorm set,dearer,NEU,1176,BOOST Creative Toolbox
picture,deceiving,NEG,3198,Green Baseplate
size of the structure,decent,POS,3,Statue of Liberty
structure,decent,POS,3,Statue of Liberty
set,decent,POS,419,Trafalgar Square
difficulty,decent,POS,683,Batcave™: The Riddler™ Face-off
flash sale,decent,POS,750,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
price,decent,POS,789,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
sets,decent,POS,1043,1989 Batmobile™
set,decent,POS,1158,BOOST Creative Toolbox
quality control,decent,POS,1581,Chip & Dale
price,decent,POS,1620,Mickey Mouse
price,decent,POS,1738,Hospital
size,decent,POS,2121,Police Patrol Boat
size boat,decent,POS,2121,Police Patrol Boat
size,decent,POS,2586,Road Plates
size road,decent,POS,2586,Road Plates
playability,decent,POS,2623,Tractor
value,decent,POS,2643,Tractor
design,decent,POS,2643,Tractor
baseplate,decent,POS,3163,Gray Baseplate
set,decent,POS,3971,Real Madrid – Santiago Bernabéu Stadium
repetition,decent,POS,3971,Real Madrid – Santiago Bernabéu Stadium
size,decent,POS,4041,Old Trafford - Manchester United
price,decent,POS,4116,Assembly Square
photo studio,decent,POS,4211,Assembly Square
music stores,decent,POS,4211,Assembly Square
build,decent,POS,4211,Assembly Square
build,decent,POS,4371,Haunted House
rating,decent,POS,4416,Haunted House
display value,decent,POS,4737,NASA Space Shuttle Discovery
details staircase,decent,POS,5030,Police Station
pictures on lego com,deceptive,NEG,4034,Old Trafford - Manchester United
lego com,deceptive,NEG,4034,Old Trafford - Manchester United
build,decorative,NEG,4931,Police Station
performance,decreased,NEG,1657,Passenger Train
height,decreases,NEG,4501,Boutique Hotel
floors,decreases,NEG,4501,Boutique Hotel
bricks,decreasing,NEG,1736,Hospital
playability,decreasing,NEG,1736,Hospital
time,dedicated,POS,937,1989 Batmobile™
light,deep,NEU,4723,NASA Space Shuttle Discovery
baseplate,deeper,NEU,5170,Bookshop
space program,deeply,NEU,1915,Lunar Space Station
rectangular plate roof part,defect,NEG,1121,1989 Batmobile™
set,defective,NEG,513,1989 Batwing
part,defective,NEG,1983,School Day
hubble telescope,defective,NEG,4792,NASA Space Shuttle Discovery
set,definately,NEG,5083,Bookshop
departure,definite,POS,4071,Assembly Square
bags,definite departure,NEU,4071,Assembly Square
drum kit,definite plus,NEU,4212,Assembly Square
star set,definitely,POS,887,Batman™ Classic TV Series Batmobile™
labelled age appropriate,definitely,POS,2246,Lunar Roving Vehicle
age appropriate,definitely,POS,2246,Lunar Roving Vehicle
set,definitely,POS,3832,Colosseum
display,definitely,POS,3927,Colosseum
display worthy,definitely,POS,3927,Colosseum
display piece,definitely,POS,4012,Old Trafford - Manchester United
set,definitely recommended,POS,3971,Real Madrid – Santiago Bernabéu Stadium
set,definitely recommended,POS,3978,Camp Nou – FC Barcelona
set,definitely recommended,POS,4007,Old Trafford - Manchester United
th anniversary set,definitive landmark,NEU,4195,Assembly Square
set,deflated,NEG,2217,Fire Rescue Helicopter
lego set,degraded,NEG,3926,Colosseum
picture page,delay,NEG,4253,Assembly Square
bin,delay,NEG,4253,Assembly Square
bin on picture page,delayed,NEG,4253,Assembly Square
window garage panels,delayed,NEG,4253,Assembly Square
motor skills,delayed fine,NEG,1976,Police Station
app,deleted,NEG,1223,BOOST Creative Toolbox
username,deleted,NEG,3718,Mighty Dinosaurs
pieces,delicate,POS,460,LEGO® DC Batman™ Batmobile™ Tumbler
double wheels,delicate,POS,464,LEGO® DC Batman™ Batmobile™ Tumbler
display,delicate,POS,464,LEGO® DC Batman™ Batmobile™ Tumbler
operation,delicate,POS,929,1989 Batmobile™
parts,delicate,POS,1012,1989 Batmobile™
touch,delicate,POS,3888,Colosseum
features,delicate,POS,4071,Assembly Square
marina bay sands,delight,POS,264,Singapore
build,delight,POS,264,Singapore
build,delight,POS,4189,Assembly Square
build methods,delight,POS,4465,Haunted House
features,delight,POS,4465,Haunted House
minifigures,delighted,POS,752,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
aug st date,delighted,POS,1162,BOOST Creative Toolbox
parts for mocs,delighted,POS,2056,Family House
pieces,delighted,POS,2056,Family House
door,delighted,POS,2831,LEGO® City Advent Calendar
lego winter scene,delighted,POS,2831,LEGO® City Advent Calendar
set,delighted,POS,3284,Medieval Castle
lego pirates sets,delighted,POS,3363,Pirate Ship
list,delighted,POS,3367,Pirate Ship
techniques,delighted,POS,4088,Assembly Square
building techniques,delighted,POS,4724,NASA Space Shuttle Discovery
set,delighted,POS,4958,Police Station
build,delighted,POS,5164,Bookshop
building experience,delightful,POS,191,New York City
build,delightful,POS,1952,Fire Station
interiors,delightful,POS,4309,Assembly Square
details,delightful,POS,4309,Assembly Square
build,delightful,POS,4341,Haunted House
build,delightful,POS,4557,Boutique Hotel
build process,delightful,POS,4809,NASA Space Shuttle Discovery
bookstore,delightful,POS,5089,Bookshop
fall accents,delightful,POS,5122,Bookshop
weight,deliver,POS,457,LEGO® DC Batman™ Batmobile™ Tumbler
shuttle,delivers,POS,4753,NASA Space Shuttle Discovery
set,demanding,NEG,506,1989 Batwing
build experience,demanding,NEG,4247,Assembly Square
build,dense,NEG,863,Batman™ Classic TV Series Batmobile™
build,dense,NEG,863,Batman™ Classic TV Series Batmobile™
bags,departure,NEU,4071,Assembly Square
payload,deployable,POS,4822,NASA Space Shuttle Discovery
landing gear,deployable,NEU,4822,NASA Space Shuttle Discovery
outriggers,deployed,NEU,2281,Mobile Crane
gear,deployed,POS,4757,NASA Space Shuttle Discovery
background,depressing,NEG,3862,Colosseum
lego city,depth,NEU,2507,Holiday Camper Van
train,derails,NEG,1705,Passenger Train
set,deserves,POS,3921,Colosseum
train tracks,deserving,NEG,2566,Road Plates
instructions,desirable,POS,481,LEGO® DC Batman™ Batmobile™ Tumbler
colors,desirable,POS,3165,Gray Baseplate
inside,desired,POS,5169,Bookshop
box,destroyed,NEG,1217,BOOST Creative Toolbox
windows,destroying,NEG,4180,Assembly Square
subassembly,detach,NEU,459,LEGO® DC Batman™ Batmobile™ Tumbler
florist s shop,detach,NEU,4139,Assembly Square
legs,detach from,NEG,1474,The Mandalorian™ & the Child
ladder,detached,NEG,2083,Fire Command Unit
trailer,detached,NEU,3599,Race Car Transporter
set,detail oriented,POS,3871,Colosseum
set,detailed,POS,23,Statue of Liberty
face,detailed,POS,54,Statue of Liberty
build,detailed,POS,54,Statue of Liberty
base,detailed,POS,54,Statue of Liberty
parts,detailed,POS,114,Taj Mahal
white house lego set,detailed,POS,146,The White House
instructions,detailed,POS,168,The White House
landscape,detailed,POS,169,The White House
set,detailed,POS,305,Tokyo
bridge,detailed,POS,379,London
interior,detailed,POS,458,LEGO® DC Batman™ Batmobile™ Tumbler
exterior,detailed,POS,458,LEGO® DC Batman™ Batmobile™ Tumbler
outside,detailed,POS,477,LEGO® DC Batman™ Batmobile™ Tumbler
directions,detailed,POS,625,THE BATMAN - BATMOBILE™
directions,detailed,POS,641,THE BATMAN - BATMOBILE™
piece,detailed,POS,656,THE BATMAN - BATMOBILE™
batcave,detailed,POS,664,Batcave™: The Riddler™ Face-off
instructions,detailed,POS,680,Batcave™: The Riddler™ Face-off
tumbler,detailed,POS,739,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
torso piece,detailed,POS,755,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
build,detailed,POS,757,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
build,detailed,POS,806,Batmobile™: The Penguin™ Chase
treatment,detailed,POS,871,Batman™ Classic TV Series Batmobile™
set,detailed,POS,928,1989 Batmobile™
cockpit,detailed,POS,1032,1989 Batmobile™
lego customer service,detailed,POS,1172,BOOST Creative Toolbox
instructions,detailed,POS,1172,BOOST Creative Toolbox
min build,detailed,POS,1373,Ahsoka Tano™
set,detailed,POS,1432,Lion Dance Guy
mandalorian,detailed,POS,1464,The Mandalorian™ & the Child
layout,detailed,POS,1721,Cargo Train
picture assembly instructions,detailed,POS,1753,Lunar Research Base
building process,detailed,POS,1755,Passenger Airplane
characters,detailed,POS,1762,Passenger Airplane
set,detailed,POS,1775,Passenger Airplane
instruction,detailed,POS,1942,Fire Station
instructions,detailed,POS,1951,Fire Station
pieces,detailed,POS,1987,School Day
peices,detailed,POS,2184,Beach Lifeguard Station
instructions,detailed,POS,2243,Lunar Roving Vehicle
pieces,detailed,POS,2246,Lunar Roving Vehicle
accessories,detailed,POS,2247,Lunar Roving Vehicle
character accessories,detailed,POS,2428,Rescue Helicopter Transport
truck decoration,detailed,POS,2514,Ice-Cream Truck
instructions,detailed,POS,2673,Race Car
instructions,detailed,POS,2804,Skate Park
features,detailed,POS,3336,Medieval Castle
mechanisms,detailed,POS,3336,Medieval Castle
set,detailed,POS,3388,Pirate Ship
instruction booklet,detailed,POS,3407,Ferris Wheel
building technique,detailed,POS,3465,Caravan Family Holiday
scenes,detailed,POS,3525,Surfer Beach House
columns,detailed,POS,3832,Colosseum
builds,detailed,POS,3847,Colosseum
set,detailed,POS,3933,Colosseum
structure,detailed,POS,3989,Camp Nou – FC Barcelona
set,detailed,POS,4061,Assembly Square
piano,detailed,POS,4061,Assembly Square
set,detailed,POS,4066,Assembly Square
set,detailed,POS,4092,Assembly Square
lego sets,detailed,POS,4092,Assembly Square
design,detailed,POS,4117,Assembly Square
cafe,detailed,POS,4127,Assembly Square
modular,detailed,POS,4133,Assembly Square
facades,detailed,POS,4148,Assembly Square
instructions,detailed,POS,4202,Assembly Square
set,detailed,POS,4223,Assembly Square
minifigures,detailed,POS,4237,Assembly Square
section,detailed,POS,4237,Assembly Square
set,detailed,POS,4276,Assembly Square
minifigures,detailed,POS,4281,Assembly Square
organ build,detailed,POS,4418,Haunted House
build,detailed,POS,4536,Boutique Hotel
builds,detailed,POS,4588,Ghostbusters™ ECTO-1
motor,detailed,POS,4657,Ghostbusters™ ECTO-1
build,detailed,POS,4683,Ghostbusters™ ECTO-1
set,detailed,POS,4886,NASA Space Shuttle Discovery
set,detailed,POS,4914,NASA Space Shuttle Discovery
elements,detailed,POS,4938,Police Station
set,detailed,POS,4988,Police Station
builds,detailed,POS,4995,Police Station
diner assembly square,detailed,POS,5082,Bookshop
parisian restaurant,detailed,POS,5082,Bookshop
exterior,detailed,POS,5102,Bookshop
set,detailed,POS,5121,Bookshop
set,detailed beautiful,POS,158,The White House
hull,details,POS,3402,Pirate Ship
interior,details,POS,4942,Police Station
build,details,POS,4952,Police Station
printing,detracted,NEG,197,New York City
set,detraction,NEG,1639,Passenger Train
light,detracts,NEU,4723,NASA Space Shuttle Discovery
app,devastated,NEG,1180,BOOST Creative Toolbox
device,devastated,NEG,1180,BOOST Creative Toolbox
app,devastated,NEG,1194,BOOST Creative Toolbox
power technology,developed,NEU,1708,Cargo Train
instruction,deviations,NEG,3751,Mighty Dinosaurs
hood v front front end,dialed,NEU,4650,Ghostbusters™ ECTO-1
cadillac taillight details,dialed,NEU,4650,Ghostbusters™ ECTO-1
rudder,did not attach cleanly,NEG,4780,NASA Space Shuttle Discovery
repetion,did not bother,NEG,3876,Colosseum
pieces,did not have,NEG,1960,Police Station
focus,did not have,NEG,1960,Police Station
patience,did not have,NEG,1960,Police Station
build,did not live,NEG,3911,Colosseum
part callout,did not match,NEG,197,New York City
internal walls,did not reach,NEG,4985,Police Station
customer service,did not receive,NEG,1715,Cargo Train
instructions,did not show,NEG,3928,Colosseum
bricks syndrome,didn t activate,NEG,4761,NASA Space Shuttle Discovery
ballerina room,didn t appeal,NEG,4103,Assembly Square
pop up machine guns,didn t come up,NEG,964,1989 Batmobile™
set,didn t come with,NEG,1602,Lucky Cat
instructions,didn t come with,NEG,1602,Lucky Cat
astronaut micro figures,didn t come with,NEG,4766,NASA Space Shuttle Discovery
lego harry potter hogwarts express,didn t come with track,NEG,2607,Tracks
set,didn t disappoint,POS,2453,Stunt Competition
picture,didn t do it justice,NEG,656,THE BATMAN - BATMOBILE™
build,didn t effect,NEG,413,Trafalgar Square
build,didn t enjoy,NEG,1136,1989 Batmobile™
set,didn t enjoy,NEG,4341,Haunted House
stickers,didn t enjoy,NEG,4656,Ghostbusters™ ECTO-1
burj khalifa,didn t even get as far,NEG,439,Dubai
designer,didn t even try,NEG,58,Statue of Liberty
dollhouses,didn t exist,NEG,4937,Police Station
chair,didn t feel right,NEG,4243,Assembly Square
pluto s nose base,didn t get,NEG,1347,Goofy & Pluto
stuntz bike,didn t get excited,NEG,2735,Demolition Stunt Bike
san francisco set,didn t get the same level of enjoyment,NEG,217,New York City
build,didn t have,NEG,424,Trafalgar Square
character pieces,didn t have,NEG,424,Trafalgar Square
angles,didn t have,NEG,491,LEGO® DC Batman™ Batmobile™ Tumbler
inside white box,didn t have,NEG,936,1989 Batmobile™
batmobile line art,didn t have,NEG,936,1989 Batmobile™
visual marker,didn t have,NEG,1136,1989 Batmobile™
monotone black car,didn t have,NEG,1136,1989 Batmobile™
base plates,didn t have,NEG,3222,Green Baseplate
shop home box,didn t have,NEG,4133,Assembly Square
lego halloween display,didn t have,NEG,4329,Haunted House
pieces,didn t have,NEG,4637,Ghostbusters™ ECTO-1
app,didn t have any issues,POS,1142,BOOST Creative Toolbox
instructions,didn t help,NEG,933,1989 Batmobile™
pieces,didn t include,NEG,4211,Assembly Square
build process,didn t include,NEG,4568,Ghostbusters™ ECTO-1
lego easter eggs,didn t instantly recognize,NEG,4443,Haunted House
grey connector,didn t like,NEG,357,London
build,didn t like,NEG,424,Trafalgar Square
directions,didn t like,NEG,424,Trafalgar Square
wheels,didn t like,NEG,814,Batmobile™: The Penguin™ Chase
fly away panels,didn t like,NEG,1033,1989 Batmobile™
lego bumps,didn t like,NEG,1061,1989 Batmobile™
lefo hair,didn t like,NEG,2625,Tractor
hatch,didn t like,NEG,3357,Pirate Ship
open deck,didn t like,NEG,3357,Pirate Ship
chat,didn t like,NEG,3864,Colosseum
face,didn t like,NEG,4126,Assembly Square
open kitchen section,didn t like,NEG,4235,Assembly Square
parts,didn t like,NEG,4608,Ghostbusters™ ECTO-1
bay doors,didn t like,NEG,4879,NASA Space Shuttle Discovery
internal walls,didn t like,NEG,4932,Police Station
black pages,didn t like,NEG,4932,Police Station
detail,didn t like,NEG,4985,Police Station
internal walls,didn t like,NEG,4985,Police Station
shelf outside,didn t like,NEG,5110,Bookshop
internal walls,didn t like the scooped out,NEG,4932,Police Station
pieces,didn t line up,NEG,997,1989 Batmobile™
look,didn t look right,NEG,4962,Police Station
stickers,didn t love,NEG,4711,NASA Space Shuttle Discovery
lego customer support,didn t match,NEG,3193,Green Baseplate
assistance,didn t need,POS,2435,Rescue Helicopter Transport
instructions,didn t need,POS,2756,Rocket Stunt Bike
store,didn t open,NEG,4071,Assembly Square
antiquities,didn t particularly like,NEG,4445,Haunted House
rust stickers,didn t put,NEG,4658,Ghostbusters™ ECTO-1
blockheadz look,didn t really care,NEG,1370,Ahsoka Tano™
promotional photos,didn t really excite,NEG,668,Batcave™: The Riddler™ Face-off
construction experience,didn t really like,NEG,126,Taj Mahal
motor,didn t recognize,NEG,1158,BOOST Creative Toolbox
motor,didn t recognize,NEG,1158,BOOST Creative Toolbox
run,didn t run right,NEG,4459,Haunted House
box,didn t seem that great,NEG,2474,Cement Mixer Truck
design team,didn t skim,NEG,4480,Boutique Hotel
blue quarter circle piece,didn t spoil,NEG,731,Classic TV Series Batman™ Cowl
surface pro tablet,didn t succeed,NEG,1230,BOOST Creative Toolbox
build,didn t take too long,POS,544,1989 Batwing
light brick,didn t work,NEG,4370,Haunted House
lift mechanism,didn t work,NEG,4394,Haunted House
elevator,didn t work properly,NEG,4339,Haunted House
brake wheels,didn t work properly,NEG,4339,Haunted House
lift,didn t work properly,NEG,4424,Haunted House
work,didn t work right,NEG,4332,Haunted House
lift mechanism,didn t work to well,NEG,4394,Haunted House
power functions,didnt come with,NEG,1650,Passenger Train
ferris wheel,didnt end successfully,NEG,3419,Ferris Wheel
instructions,didnt end successfully,NEG,3419,Ferris Wheel
ghostbusters,didnt love,NEG,4600,Ghostbusters™ ECTO-1
baby yoda fans,die hard,NEG,1447,The Mandalorian™ & the Child
real madrid fan,die hard,NEG,3972,Real Madrid – Santiago Bernabéu Stadium
batteries,died,NEG,1141,BOOST Creative Toolbox
batteries,died,NEG,1147,BOOST Creative Toolbox
blue tooth chip,died,NEG,1191,BOOST Creative Toolbox
star wars lego,difference,NEU,1635,First Order Stormtrooper™
green baseplates,differences,NEG,3194,Green Baseplate
bricks,different,NEG,62,Statue of Liberty
bricks,different,NEU,77,Statue of Liberty
set,different,NEU,167,The White House
height,different,POS,182,New York City
towers,different,POS,184,New York City
base,different,NEU,219,New York City
technic fan,different,NEU,391,London
pace,different,POS,391,London
wheel,different,POS,395,London
thickness,different,POS,410,Trafalgar Square
sizes,different,POS,413,Trafalgar Square
spare pieces,different,NEU,639,THE BATMAN - BATMOBILE™
color,different,POS,639,THE BATMAN - BATMOBILE™
color,different,NEU,646,THE BATMAN - BATMOBILE™
face options,different,POS,665,Batcave™: The Riddler™ Face-off
bags,different,NEG,733,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
angles,different,POS,780,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
skill levels,different,POS,828,Batmobile™: The Penguin™ Chase
hair,different,NEG,836,Batman™ & Selina Kyle™ Motorcycle Pursuit
head pieces,different,NEU,836,Batman™ & Selina Kyle™ Motorcycle Pursuit
techniques,different,POS,859,Batman™ Classic TV Series Batmobile™
build,different,NEU,1051,1989 Batmobile™
batmobile design,different,POS,1051,1989 Batmobile™
color,different,POS,1084,1989 Batmobile™
texture,different,POS,1084,1989 Batmobile™
color,different,POS,1085,1989 Batmobile™
texture,different,POS,1085,1989 Batmobile™
steering mechanism,different,NEU,1130,1989 Batmobile™
set,different,NEU,1143,BOOST Creative Toolbox
coading options,different,NEU,1153,BOOST Creative Toolbox
scripts,different,NEU,1157,BOOST Creative Toolbox
tool boxes,different,NEU,1157,BOOST Creative Toolbox
program,different,NEU,1161,BOOST Creative Toolbox
program vernie,different,NEU,1161,BOOST Creative Toolbox
vernie,different,NEU,1161,BOOST Creative Toolbox
build,different,NEU,1176,BOOST Creative Toolbox
toys,different,POS,1176,BOOST Creative Toolbox
build,different,NEU,1195,BOOST Creative Toolbox
component types,different,NEU,1198,BOOST Creative Toolbox
trays,different,NEU,1208,BOOST Creative Toolbox
sets,different,NEU,1227,BOOST Creative Toolbox
color scheme,different,NEU,1238,Spice Girls Tribute
building,different,POS,1238,Spice Girls Tribute
picture,different,NEG,1276,"Voldemort™, Nagini & Bellatrix"
instructions,different,NEG,1276,"Voldemort™, Nagini & Bellatrix"
techniques,different,POS,1308,Budgie
builds,different,NEG,1320,Goldfish
studs,different,NEU,1325,Goldfish
build,different,NEU,1331,Goldfish
build,different,NEU,1331,Goldfish
clowns,different,NEU,1394,Birthday Clown
colour black,different,NEU,1471,The Mandalorian™ & the Child
piece,different,NEU,1471,The Mandalorian™ & the Child
mandalorian,different,POS,1488,The Mandalorian™ & the Child
story,different,POS,1488,The Mandalorian™ & the Child
colours,different,POS,1518,Ginger Tabby
rails,different,NEU,1688,Passenger Train
styles,different,POS,1688,Passenger Train
connector,different,NEG,1708,Cargo Train
storylines,different,NEG,1710,Cargo Train
connections,different,NEG,1715,Cargo Train
set,different,POS,1750,Lunar Research Base
components,different,POS,1751,Lunar Research Base
builds,different,POS,1767,Passenger Airplane
price,different,POS,1788,Stunt Show Arena
set,different,POS,1796,Stunt Show Arena
stores,different,POS,1817,Town Center
set,different,NEU,1830,Town Center
functional parts,different,NEU,1843,Wildlife Rescue Camp
build,different,NEU,1852,Wildlife Rescue Camp
rescue vehicles,different,POS,1866,Wildlife Rescue Operation
components,different,POS,1872,Wildlife Rescue Operation
plastic quality,different,POS,1876,Wildlife Rescue Operation
play,different,POS,1877,Wildlife Rescue Operation
features,different,POS,1877,Wildlife Rescue Operation
set up,different,POS,1878,Wildlife Rescue Operation
x2x1 white bricks,different,NEU,1913,Lunar Space Station
scenarios,different,NEU,1961,Police Station
components,different,POS,1963,Police Station
storylines,different,POS,1964,Police Station
sections,different,NEU,1992,Stunt Show Truck
stunts,different,POS,1995,Stunt Show Truck
stunts,different,POS,2010,Stunt Show Truck
trick,different,POS,2010,Stunt Show Truck
levi set,different,POS,2106,Police Patrol Boat
components,different,POS,2108,Police Patrol Boat
scenarios,different,NEU,2136,Wildlife Rescue Off-Roader
scenarios,different,NEU,2183,Beach Lifeguard Station
pieces,different,POS,2188,Fire Rescue & Police Chase
noises,different,NEU,2218,Fire Rescue Helicopter
functions,different,POS,2218,Fire Rescue Helicopter
surfaces,different,POS,2258,Lunar Roving Vehicle
small bags,different,NEU,2303,Stunt Park
build,different,POS,2309,Stunt Park
variations,different,POS,2310,Stunt Park
games,different,POS,2310,Stunt Park
elements,different,POS,2311,Stunt Park
scenes,different,NEU,2312,Stunt Park
elements,different,POS,2320,Stunt Park
connection for trailer,different,NEG,2340,Car Transporter
trailer,different,NEG,2340,Car Transporter
shapes,different,POS,2400,Police Prisoner Transport
sizes,different,POS,2400,Police Prisoner Transport
characters,different,POS,2404,Police Prisoner Transport
components,different,POS,2441,Rescue Helicopter Transport
formats,different,NEU,2452,Stunt Competition
ice cream flavors,different,POS,2512,Ice-Cream Truck
road plates,different,NEG,2547,Road Plates
height,different,NEG,2547,Road Plates
shader colour,different,NEU,2550,Road Plates
height,different,NEG,2559,Road Plates
way junction,different,NEU,2573,Road Plates
plates,different,NEG,2581,Road Plates
height,different,NEG,2581,Road Plates
track pieces,different,POS,2603,Tracks
mixup,different,NEU,2671,Police Helicopter
color,different,POS,2761,Rocket Stunt Bike
tracks,different,POS,2775,Rocket Stunt Bike
scenarios,different,POS,2801,Skate Park
sections,different,POS,2804,Skate Park
colors,different,POS,2857,LEGO® Large Creative Brick Box
themes,different,NEG,2894,LEGO® Medium Creative Brick Box
pieces,different,POS,2894,LEGO® Medium Creative Brick Box
colors,different,POS,2900,LEGO® Medium Creative Brick Box
shapes,different,POS,2900,LEGO® Medium Creative Brick Box
set,different,NEU,2907,Bricks and Functions
ages,different,POS,2913,Bricks and Functions
building,different,POS,2916,Bricks and Functions
building possibilities,different,POS,2916,Bricks and Functions
techniques,different,NEU,2921,Creative Transparent Bricks
ages,different,POS,2932,Creative Ocean Fun
ocean creatures,different,NEU,2939,Creative Ocean Fun
building,different,POS,2943,Creative Suitcase
colors,different,POS,2964,Creative Monsters
colors,different,POS,2975,Brick Separator
lego sets,different,POS,3131,Brick Separator
baseplate,different,POS,3208,Green Baseplate
color,different,POS,3208,Green Baseplate
grass,different,NEU,3216,Green Baseplate
plates,different,NEU,3217,Green Baseplate
color,different,POS,3217,Green Baseplate
sizes,different,POS,3232,Green Baseplate
height,different,NEG,3237,Green Baseplate
baseplates,different,NEU,3269,White Baseplate
sets,different,NEG,3271,Medieval Castle
builds,different,POS,3276,Medieval Castle
minifigs,different,NEU,3289,Medieval Castle
scene,different,NEG,3342,Medieval Castle
techniques,different,POS,3355,Pirate Ship
sets,different,NEU,3360,Pirate Ship
lego mini figures,different,NEU,3360,Pirate Ship
colors,different,POS,3379,Pirate Ship
lego pieces,different,NEU,3381,Pirate Ship
scenes,different,NEU,3409,Ferris Wheel
ferris wheel,different,NEU,3419,Ferris Wheel
ferris wheel,different,POS,3424,Ferris Wheel
truck car tractor,different,NEU,3424,Ferris Wheel
legos,different,POS,3459,Caravan Family Holiday
size color shape,different,NEU,3459,Caravan Family Holiday
build,different,POS,3472,Caravan Family Holiday
build,different,POS,3497,Majestic Tiger
designs,different,NEG,3531,Space Shuttle Adventure
space shuttle,different,NEU,3537,Space Shuttle Adventure
jaw,different,NEU,3560,Crocodile
set,different,POS,3585,Fish Tank
racecars,different,NEG,3618,Race Car Transporter
car,different,NEU,3623,Street Racer
cars,different,POS,3626,Street Racer
race cars,different,NEU,3629,Street Racer
legos,different,POS,3632,Superbike
build,different,POS,3635,Superbike
play experiences,different,POS,3635,Superbike
set,different,NEU,3635,Superbike
builds it back up,different,NEU,3638,Superbike
back up,different,NEU,3638,Superbike
build,different,NEU,3649,Superbike
builds,different,POS,3667,Deep Sea Creatures
legos,different,NEU,3704,Fantasy Forest Creatures
options,different,POS,3705,Fantasy Forest Creatures
trex,different,NEU,3722,Mighty Dinosaurs
trex,different,NEU,3722,Mighty Dinosaurs
dinosaurs,different,NEU,3728,Mighty Dinosaurs
build,different,NEU,3753,Mighty Dinosaurs
lego site,different,NEU,3753,Mighty Dinosaurs
options,different,NEU,3759,Mighty Dinosaurs
build,different,NEU,3773,Off-road Buggy
options,different,POS,3779,Off-road Buggy
colours,different,NEG,3799,Dolphin and Turtle
ideas,different,POS,3801,Dolphin and Turtle
legos,different,NEU,3807,Dolphin and Turtle
lego creator robot pack,different,POS,3814,Super Robot
build,different,POS,3814,Super Robot
characters,different,NEU,3827,Super Robot
column,different,NEG,3831,Colosseum
sets,different,NEU,3834,Colosseum
modules,different,POS,3839,Colosseum
segment,different,POS,3842,Colosseum
section,different,POS,3849,Colosseum
sections,different,NEU,3857,Colosseum
pieces,different,NEG,3905,Colosseum
piece,different,NEU,3909,Colosseum
colors,different,NEG,3928,Colosseum
details,different,NEG,3945,Colosseum
sections,different,POS,3945,Colosseum
stadiums,different,NEU,3972,Real Madrid – Santiago Bernabéu Stadium
build,different,POS,3986,Camp Nou – FC Barcelona
look,different,POS,4020,Old Trafford - Manchester United
sections,different,NEU,4025,Old Trafford - Manchester United
theme,different,POS,4063,Assembly Square
cafe florist,different,NEU,4067,Assembly Square
cafe florist dentist music shop flat photography studio,different,NEU,4067,Assembly Square
restaurant,different,POS,4067,Assembly Square
